Building_ID,Day_Name,Average_Occupancy,Average_Utilization
BLDG_A,Monday,4.2,23.884545454545457
BLDG_A,Tuesday,4.2615384615384615,22.04569230769231
BLDG_A,Wednesday,4.770491803278689,25.316885245901638
BLDG_A,Thursday,4.932203389830509,24.982881355932204
BLDG_A,Friday,3.9,20.500333333333334
BLDG_A,Saturday,0.8823529411764706,4.470294117647059
BLDG_A,Sunday,1.064516129032258,5.343870967741935
BLDG_B,Monday,5.42,29.1758
BLDG_B,Tuesday,4.313432835820896,21.204179104477614
BLDG_B,Wednesday,3.9523809523809526,19.765714285714285
BLDG_B,Thursday,4.982456140350878,27.462807017543856
BLDG_B,Friday,3.393939393939394,18.61030303030303
BLDG_B,Saturday,1.1,6.016666666666667
BLDG_B,Sunday,0.7714285714285715,4.058571428571429
BLDG_C,Monday,4.781818181818182,22.49763636363636
BLDG_C,Tuesday,5.2,25.240333333333336
BLDG_C,Wednesday,4.617647058823529,20.954117647058826
BLDG_C,Thursday,5.153846153846154,24.615384615384617
BLDG_C,Friday,6.121212121212121,26.053333333333335
BLDG_C,Saturday,1.375,6.4659375
BLDG_C,Sunday,0.9333333333333333,5.277666666666667
