Building_ID,Hour,Average_Occupancy,Average_Utilization
BLDG_A,0,0.7142857142857143,4.309285714285714
BLDG_A,1,1.1666666666666667,6.666666666666667
BLDG_A,2,1.2857142857142858,5.857142857142857
BLDG_A,3,1.5714285714285714,8.642142857142856
BLDG_A,4,1.1666666666666667,5.583333333333333
BLDG_A,5,1.6428571428571428,7.618571428571428
BLDG_A,6,1.4285714285714286,7.714285714285714
BLDG_A,7,0.9166666666666666,4.443333333333333
BLDG_A,8,5.555555555555555,24.351666666666667
BLDG_A,9,8.933333333333334,48.11133333333333
BLDG_A,10,7.5,35.777499999999996
BLDG_A,11,9.8,53.599333333333334
BLDG_A,12,5.888888888888889,34.25944444444444
BLDG_A,13,8.75,43.55583333333333
BLDG_A,14,6.785714285714286,35.832857142857144
BLDG_A,15,7.8125,43.478125
BLDG_A,16,7.933333333333334,44.443999999999996
BLDG_A,17,2.642857142857143,14.66642857142857
BLDG_A,18,0.8571428571428571,3.452142857142857
BLDG_A,19,1.3333333333333333,6.444166666666667
BLDG_A,20,0.9285714285714286,5.405
BLDG_A,21,1.2142857142857142,6.881428571428572
BLDG_A,22,0.8333333333333334,5.389166666666667
BLDG_A,23,0.8571428571428571,3.9285714285714284
BLDG_B,0,0.4166666666666667,1.5716666666666665
BLDG_B,1,1.2857142857142858,4.555
BLDG_B,2,1.5,8.491428571428571
BLDG_B,3,1.0,6.038333333333334
BLDG_B,4,0.7142857142857143,4.814285714285715
BLDG_B,5,1.5714285714285714,7.321428571428571
BLDG_B,6,1.1666666666666667,6.795833333333333
BLDG_B,7,1.5714285714285714,6.96
BLDG_B,8,2.857142857142857,17.94
BLDG_B,9,8.8,46.034666666666666
BLDG_B,10,9.9375,48.380625
BLDG_B,11,9.142857142857142,44.26642857142857
BLDG_B,12,4.833333333333333,27.848333333333333
BLDG_B,13,7.944444444444445,40.81055555555556
BLDG_B,14,8.2,44.29600000000001
BLDG_B,15,8.75,38.7275
BLDG_B,16,6.733333333333333,40.977333333333334
BLDG_B,17,4.222222222222222,22.464444444444446
BLDG_B,18,0.8333333333333334,5.5808333333333335
BLDG_B,19,0.2857142857142857,1.8614285714285714
BLDG_B,20,1.0,4.917857142857143
BLDG_B,21,1.0833333333333333,6.670833333333333
BLDG_B,22,0.7857142857142857,5.916428571428571
BLDG_B,23,1.7142857142857142,9.05
BLDG_C,0,0.7142857142857143,4.354285714285714
BLDG_C,1,1.7142857142857142,8.035714285714286
BLDG_C,2,1.0,6.408333333333334
BLDG_C,3,1.6428571428571428,6.547857142857143
BLDG_C,4,1.4285714285714286,6.198571428571428
BLDG_C,5,1.4166666666666667,6.428333333333334
BLDG_C,6,0.7142857142857143,3.5714285714285716
BLDG_C,7,1.4285714285714286,5.076428571428571
BLDG_C,8,4.75,22.1825
BLDG_C,9,8.571428571428571,40.36571428571428
BLDG_C,10,9.5,44.42
BLDG_C,11,9.4,46.07066666666666
BLDG_C,12,7.857142857142857,38.30785714285714
BLDG_C,13,8.785714285714286,35.57
BLDG_C,14,8.8,43.43666666666666
BLDG_C,15,9.4375,47.05375
BLDG_C,16,10.357142857142858,41.25928571428572
BLDG_C,17,4.0,21.080833333333334
BLDG_C,18,1.0,5.8500000000000005
BLDG_C,19,1.2142857142857142,5.518571428571428
BLDG_C,20,2.5833333333333335,11.299166666666666
BLDG_C,21,1.5714285714285714,7.151428571428572
BLDG_C,22,1.4285714285714286,6.4799999999999995
BLDG_C,23,1.0,5.555833333333333
