Timestamp,Asset_ID,Building_ID,Equipment_Type,Ambient_Temperature_C,Equipment_Temperature_C,Vibration_mm_s,Pressure_bar,Power_Consumption_kW,Load_Percent,Oil_Temperature_C,Operating_Hours,Age_Years,Maintenance_Count,Days_Since_Maintenance,Last_Maintenance_Date,Maintenance_Type,Historical_Failure_Count,Error_Code,Failure_Within_7_Days,Hour,Day,Day_of_Week,Working_Hours,Temperature_Difference_C,Equipment_Stress,Maintenance_Urgency,High_Temperature,High_Vibration
2026-01-01 00:00:00,AST_046,BLDG_C,HVAC,32.9,68.66,4.06,6.29,14.95,57.42,58.85,9960,7,6,30,2025-12-02 00:00:00,Corrective,0,NONE,0,0,1,3,0,35.76,2.7982,0,0,0
2026-01-01 00:15:00,AST_053,BLDG_C,Pump,28.53,65.72,4.73,5.91,16.54,70.09,62.31,11322,8,4,56,2025-11-06 00:15:00,Preventive,0,NONE,0,0,1,3,0,37.19,3.7129000000000003,0,0,0
2026-01-01 00:30:00,AST_095,BLDG_C,Compressor,33.07,68.37,4.47,5.54,17.17,70.69,60.51,2332,10,9,97,2025-09-26 00:30:00,Inspection,2,E404,1,0,1,3,0,35.300000000000004,4.4349,1,0,0
2026-01-01 00:45:00,AST_099,BLDG_B,HVAC,24.1,68.41,4.87,5.8,16.96,69.16,65.66,3744,10,5,154,2025-07-31 00:45:00,Inspection,1,E303,1,0,1,3,0,44.309999999999995,5.7196,1,0,0
2026-01-01 01:00:00,AST_060,BLDG_C,Compressor,31.64,80.85,6.59,4.93,19.14,88.51,64.15,13098,15,5,25,2025-12-07 01:00:00,Inspection,3,NONE,0,1,1,3,0,49.209999999999994,4.021100000000001,0,1,1
2026-01-01 01:15:00,AST_097,BLDG_C,Compressor,29.84,74.97,6.03,4.98,19.95,68.13,66.37,11852,7,5,55,2025-11-07 01:15:00,Corrective,3,E303,1,1,1,3,0,45.129999999999995,4.193300000000001,0,1,1
2026-01-01 01:30:00,AST_063,BLDG_C,Motor,28.93,69.93,4.86,5.16,14.2,68.43,64.66,10233,12,1,42,2025-11-20 01:30:00,Inspection,1,E101,1,1,1,3,0,41.00000000000001,3.4683,0,0,0
2026-01-01 01:45:00,AST_085,BLDG_B,Chiller,29.78,65.46,3.28,6.01,13.8,58.47,55.83,8760,8,1,24,2025-12-08 01:45:00,Preventive,0,NONE,0,1,1,3,0,35.67999999999999,2.3767,0,0,0
2026-01-01 02:00:00,AST_032,BLDG_C,Pump,24.16,70.26,4.75,5.56,17.07,82.15,59.73,3844,6,8,161,2025-07-24 02:00:00,Inspection,2,NONE,0,2,1,3,0,46.10000000000001,5.9415000000000004,1,1,0
2026-01-01 02:15:00,AST_087,BLDG_A,HVAC,23.21,81.26,6.87,5.09,21.41,88.98,69.01,14622,11,8,136,2025-08-18 02:15:00,Inspection,2,E202,1,2,1,3,0,58.050000000000004,6.357800000000001,1,1,1
2026-01-01 02:30:00,AST_033,BLDG_A,Compressor,34.84,71.83,4.44,5.74,18.44,64.13,62.97,7405,7,6,59,2025-11-03 02:30:00,Inspection,3,NONE,0,2,1,3,0,36.989999999999995,3.5972999999999997,0,1,0
2026-01-01 02:45:00,AST_067,BLDG_C,Pump,27.33,64.71,3.71,6.04,17.11,60.52,57.1,2535,3,4,96,2025-09-27 02:45:00,Corrective,2,NONE,0,2,1,3,0,37.379999999999995,4.0092,1,0,0
2026-01-01 03:00:00,AST_018,BLDG_C,Chiller,27.27,67.91,4.85,5.86,16.86,66.95,62.94,8206,14,2,32,2025-11-30 03:00:00,Preventive,1,E101,1,3,1,3,0,40.64,3.2495000000000003,0,0,0
2026-01-01 03:15:00,AST_025,BLDG_C,Chiller,23.59,60.37,2.55,6.41,12.91,56.07,57.76,3099,8,2,8,2025-12-24 03:15:00,Preventive,0,NONE,0,3,1,3,0,36.78,1.7407,0,0,0
2026-01-01 03:30:00,AST_095,BLDG_C,Compressor,22.07,66.25,5.2,5.26,17.54,66.09,59.47,2568,10,9,154,2025-07-31 03:30:00,Inspection,1,NONE,0,3,1,3,0,44.18,5.8209,1,0,0
2026-01-01 03:45:00,AST_054,BLDG_C,HVAC,27.65,71.57,5.34,5.08,17.07,70.11,59.51,7179,5,5,80,2025-10-13 03:45:00,Preventive,4,E101,1,3,1,3,0,43.919999999999995,4.437100000000001,0,1,0
2026-01-01 04:00:00,AST_058,BLDG_B,Compressor,26.63,68.79,6.34,5.55,17.44,81.59,65.57,5677,6,4,177,2025-07-08 04:00:00,Inspection,3,E404,1,4,1,3,0,42.16000000000001,6.8919,1,0,1
2026-01-01 04:15:00,AST_067,BLDG_C,Pump,28.01,63.07,3.81,5.57,14.24,72.81,55.35,2513,3,1,71,2025-10-22 04:15:00,Preventive,2,E202,1,4,1,3,0,35.06,3.6721,0,0,0
2026-01-01 04:30:00,AST_046,BLDG_C,HVAC,28.35,75.3,5.45,5.11,20.08,69.85,65.42,10261,7,7,90,2025-10-03 04:30:00,Preventive,4,E101,1,4,1,3,0,46.949999999999996,4.6785000000000005,0,1,0
2026-01-01 04:45:00,AST_024,BLDG_A,Pump,37.96,76.13,5.82,5.97,18.57,71.38,68.25,14608,1,3,166,2025-07-19 04:45:00,Preventive,2,E202,1,4,1,3,0,38.169999999999995,6.361800000000001,1,1,0
2026-01-01 05:00:00,AST_032,BLDG_C,Pump,26.65,62.65,3.98,6.2,15.07,64.79,56.91,4379,6,6,95,2025-09-28 05:00:00,Preventive,0,NONE,0,5,1,3,0,36.0,4.1399,1,0,0
2026-01-01 05:15:00,AST_047,BLDG_A,Pump,34.32,69.86,5.1,5.56,14.69,62.89,61.8,7642,11,5,109,2025-09-14 05:15:00,Corrective,0,E202,1,5,1,3,0,35.54,4.8489,1,0,0
2026-01-01 05:30:00,AST_086,BLDG_A,Compressor,34.57,63.25,2.17,6.18,12.03,57.22,51.14,6619,1,5,5,2025-12-27 05:30:00,Preventive,0,NONE,0,5,1,3,0,28.68,1.5402,0,0,0
2026-01-01 05:45:00,AST_023,BLDG_B,Compressor,31.01,68.35,4.83,5.84,17.33,76.14,63.55,13921,5,5,76,2025-10-17 05:45:00,Overhaul,2,NONE,0,5,1,3,0,37.33999999999999,4.2134,0,0,0
2026-01-01 06:00:00,AST_066,BLDG_A,Compressor,27.06,70.43,5.46,5.44,17.81,81.52,67.22,4775,13,1,91,2025-10-02 06:00:00,Corrective,4,NONE,0,6,1,3,0,43.370000000000005,4.8192,1,1,0
2026-01-01 06:15:00,AST_027,BLDG_B,Compressor,22.55,69.6,6.33,5.34,19.93,79.99,71.86,11411,11,1,170,2025-07-15 06:15:00,Preventive,0,NONE,0,6,1,3,0,47.05,6.7318999999999996,1,0,1
2026-01-01 06:30:00,AST_002,BLDG_A,Generator,29.91,70.79,5.3,5.47,19.88,70.33,63.9,14840,3,3,10,2025-12-22 06:30:00,Inspection,4,NONE,0,6,1,3,0,40.88000000000001,3.0233000000000003,0,1,0
2026-01-01 06:45:00,AST_090,BLDG_B,Generator,32.08,71.35,5.58,5.27,20.55,77.17,69.05,9358,9,4,157,2025-07-28 06:45:00,Inspection,2,NONE,0,6,1,3,0,39.269999999999996,6.143700000000001,1,1,0
2026-01-01 07:00:00,AST_017,BLDG_B,Chiller,34.99,80.13,6.44,4.86,21.76,75.6,69.37,5583,12,5,149,2025-08-05 07:00:00,Inspection,4,E101,1,7,1,3,0,45.13999999999999,6.312000000000001,1,1,1
2026-01-01 07:15:00,AST_033,BLDG_A,Compressor,24.2,64.32,4.39,5.5,17.14,71.19,56.52,6738,7,2,65,2025-10-28 07:15:00,Preventive,2,NONE,0,7,1,3,0,40.11999999999999,3.7679,0,0,0
2026-01-01 07:30:00,AST_009,BLDG_C,Motor,27.03,69.94,4.57,5.78,18.09,79.95,61.49,13905,8,8,16,2025-12-16 07:30:00,Inspection,2,NONE,0,7,1,3,0,42.91,2.9475000000000002,0,0,0
2026-01-01 07:45:00,AST_043,BLDG_C,Generator,24.22,61.69,3.63,6.08,12.38,65.94,57.64,2336,6,2,10,2025-12-22 07:45:00,Inspection,3,E202,1,7,1,3,0,37.47,2.3114,0,0,0
